x0000,y0000
809,0.3,
810,0.3,
811,0.2756794066,
812,0.2087216268,
813,0.2841823678,
814,0.3,
815,0.3,
816,0.3,
817,0.2647120314,
818,0.2860765798,
819,0.3,
820,0.3,
821,0.3,
822,0.3,
823,0.3,
824,0.3,
825,0.3,
826,0.3,
827,0.3,
828,0.3,
829,0.3,
830,0.3,
831,0.3,
832,0.3,
833,0.3,
834,0.3,
835,0.3,
836,0.3,
837,0.3,
838,0.3,
839,0.3,
840,0.3,
841,0.3,
842,0.3,
843,0.3,
844,0.3,
845,0.3,
846,0.3,
847,0.3,
848,0.3,
849,0.3,
850,0.3,
851,0.3,
852,0.3,
853,0.3,
854,0.3,
855,0.3,
856,0.3,
857,0.3,
858,0.3,
859,0.3,
860,0.3,
861,0.3,
862,0.3,
863,0.3,
864,0.3,
865,0.3,
866,0.3,
867,0.3,
868,0.3,
869,0.3,
870,0.3,
871,0.3,
872,0.3,
873,0.3,
874,0.3,
875,0.3,
876,0.3,
877,0.2757185669,
878,0.2902661193,
879,0.3,
880,0.3,
881,0.3,
882,0.2307413853,
883,0.2691093527,
884,0.3,
885,0.3,
886,0.2879015908,
887,0.198851776,
888,0.2566065021,
889,0.3,
890,0.3,
891,0.2811326958,
892,0.1822682479,
893,0.2483661113,
894,0.3,
895,0.3,
896,0.2796259021,
897,0.1770418736,
898,0.243589919,
899,0.3,
900,0.3,
901,0.2791889523,
902,0.173764929,
903,0.2389147924,
904,0.3,
905,0.3,
906,0.2769165131,
907,0.1676017127,
908,0.2344674032,
909,0.3,
910,0.3,
911,0.2803234911,
912,0.1708544816,
913,0.2167150398,
914,0.3,
915,0.3,
916,0.3,
917,0.237338154,
918,0.2540991013,
919,0.3,
920,0.3,
921,0.3,
922,0.3,
923,0.3,
924,0.3,
925,0.3,
926,0.3,
927,0.3,
928,0.3,
929,0.3,
930,0.3,
931,0.3,
932,0.3,
933,0.3,
934,0.3,
935,0.3,
936,0.3,
937,0.3,
938,0.3,
939,0.3,
940,0.3,
941,0.3,
942,0.3,
943,0.3,
944,0.3,
945,0.3,
946,0.3,
947,0.3,
948,0.3,
949,0.3,
950,0.3,
951,0.3,
952,0.3,
953,0.3,
954,0.3,
955,0.3,
956,0.3,
957,0.3,
958,0.3,
959,0.3,
960,0.3,
961,0.3,
962,0.3,
963,0.3,
964,0.3,
965,0.3,
966,0.3,
967,0.3,
968,0.3,
969,0.3,
970,0.3,
971,0.3,
972,0.3,
973,0.3,
974,0.3,
975,0.3,
976,0.3,
977,0.3,
978,0.3,
979,0.3,
980,0.3,
981,0.3,
982,0.3,
983,0.3,
984,0.3,
985,0.3,
986,0.3,
987,0.3,
988,0.298416817,
989,0.3,
990,0.3,
991,0.3,
992,0.2614672019,
993,0.2694315397,
994,0.3,
995,0.3,
996,0.3,
997,0.2375107452,
998,0.2547894662,
999,0.3,
1000,0.3,
1001,0.2995941996,
1002,0.2022945526,
1003,0.2351872367,
1004,0.3,
1005,0.3,
1006,0.2995879054,
1007,0.2023791674,
1008,0.2355398578,
1009,0.3,
1010,0.3,
1011,0.2989228605,
1012,0.1974826333,
1013,0.230575589,
1014,0.3,
1015,0.3,
1016,0.2980724571,
1017,0.19280368,
1018,0.2266454013,
1019,0.3,
1020,0.3,
1021,0.2973370668,
1022,0.1873136624,
1023,0.2209695603,
1024,0.3,
1025,0.3,
1026,0.2993121742,
1027,0.1923082939,
1028,0.219184246,
1029,0.3,
1030,0.3,
1031,0.3,
1032,0.1961531158,
1033,0.2159639497,
1034,0.3,
1035,0.3,
1036,0.3,
1037,0.1978740928,
1038,0.2142830627,
1039,0.3,
1040,0.3,
1041,0.3,
1042,0.2014515521,
1043,0.2065729268,
1044,0.3,
1045,0.3,
1046,0.3,
1047,0.1945613855,
1048,0.2014417531,
1049,0.3,
1050,0.3,
1051,0.3,
1052,0.1879312501,
1053,0.1940112464,
1054,0.3,
1055,0.3,
1056,0.3,
1057,0.1866794809,
1058,0.1906950343,
1059,0.3,
1060,0.3,
1061,0.3,
1062,0.1840946536,
1063,0.1857368452,
1064,0.3,
1065,0.3,
1066,0.3,
1067,0.1922585121,
1068,0.1874434456,
1069,0.2995873332,
1070,0.3,
1071,0.2988379239,
1072,0.1726424781,
1073,0.177103028,
1074,0.2998078108,
1075,0.3,
1076,0.298851013,
1077,0.1720888343,
1078,0.1763631673,
1079,0.3,
1080,0.3,
1081,0.2991761683,
1082,0.1721136537,
1083,0.174527356,
1084,0.2999806166,
1085,0.3,
1086,0.2998708248,
1087,0.1736105768,
1088,0.1734805791,
1089,0.299090588,
1090,0.3,
1091,0.3,
1092,0.1750526398,
1093,0.171321937,
1094,0.298167908,
1095,0.3,
1096,0.3,
1097,0.1762139292,
1098,0.1698122465,
1099,0.2978644965,
1100,0.3,
1101,0.3,
1102,0.1770778867,
1103,0.1663098176,
1104,0.2961417313,
1105,0.3,
1106,0.3,
1107,0.1783939574,
1108,0.1644847708,
1109,0.2955665583,
1110,0.3,
1111,0.3,
1112,0.1802456475,
1113,0.1629726485,
1114,0.2941633694,
1115,0.3,
1116,0.3,
1117,0.1824739197,
1118,0.1609613849,
1119,0.2932713739,
1120,0.3,
1121,0.3,
1122,0.182210634,
1123,0.1581321905,
1124,0.2917822828,
1125,0.3,
1126,0.3,
1127,0.1857564075,
1128,0.1572633335,
1129,0.2910797228,
1130,0.3,
1131,0.3,
1132,0.1883669482,
1133,0.1562161632,
1134,0.2904486168,
1135,0.3,
1136,0.3,
1137,0.1888717042,
1138,0.1553770251,
1139,0.2900264728,
1140,0.3,
1141,0.3,
1142,0.1910992254,
1143,0.154917044,
1144,0.2894151079,
1145,0.3,
1146,0.3,
1147,0.1944331401,
1148,0.1535628144,
1149,0.287786828,
1150,0.3,
1151,0.3,
1152,0.196653616,
1153,0.1514926495,
1154,0.2868061765,
1155,0.3,
1156,0.3,
1157,0.2001224995,
1158,0.1536532943,
1159,0.2868911131,
1160,0.3,
1161,0.3,
1162,0.2026100519,
1163,0.1551448173,
1164,0.2871719583,
1165,0.3,
1166,0.3,
1167,0.2065179237,
1168,0.155287332,
1169,0.2858742339,
1170,0.3,
1171,0.3,
1172,0.2099136007,
1173,0.1555352754,
1174,0.2853551728,
1175,0.3,
1176,0.3,
1177,0.212562193,
1178,0.155888576,
1179,0.2847898704,
1180,0.3,
1181,0.3,
1182,0.215319683,
1183,0.1562858649,
1184,0.284303103,
1185,0.3,
1186,0.3,
1187,0.2178713581,
1188,0.1574120352,
1189,0.2845824462,
1190,0.3,
1191,0.3,
1192,0.22067652,
1193,0.1564657159,
1194,0.2824153641,
1195,0.3,
1196,0.3,
1197,0.2226929334,
1198,0.1548655099,
1199,0.2809862829,
1200,0.3,
1201,0.3,
1202,0.2241176515,
1203,0.154122824,
1204,0.2797636604,
1205,0.3,
1206,0.3,
1207,0.2259106905,
1208,0.1532763545,
1209,0.2785936092,
1210,0.3,
1211,0.3,
1212,0.2275596055,
1213,0.1527736727,
1214,0.2780687902,
1215,0.3,
1216,0.3,
1217,0.2299850738,
1218,0.1518794241,
1219,0.2759697647,
1220,0.3,
1221,0.3,
1222,0.2318761744,
1223,0.150787443,
1224,0.274377641,
1225,0.3,
1226,0.3,
1227,0.2331568042,
1228,0.149836868,
1229,0.272863516,
1230,0.3,
1231,0.3,
1232,0.2347451371,
1233,0.1487938105,
1234,0.271357223,
1235,0.3,
1236,0.3,
1237,0.2365543767,
1238,0.1489195524,
1239,0.2706192578,
1240,0.3,
1241,0.3,
1242,0.2388877557,
1243,0.1484286008,
1244,0.268240746,
1245,0.3,
1246,0.3,
1247,0.2405072022,
1248,0.1467920598,
1249,0.2662987192,
1250,0.3,
1251,0.3,
1252,0.2417755654,
1253,0.1460857804,
1254,0.2648731786,
1255,0.3,
1256,0.3,
1257,0.2433633975,
1258,0.1455875332,
1259,0.2632412509,
1260,0.3,
1261,0.3,
1262,0.2451338345,
1263,0.1450670773,
1264,0.2620356872,
1265,0.3,
1266,0.3,
1267,0.2470873054,
1268,0.1455711181,
1269,0.2610714866,
1270,0.3,
1271,0.3,
1272,0.2493895709,
1273,0.1449706608,
1274,0.2583735416,
1275,0.3,
1276,0.3,
1277,0.2504450739,
1278,0.144354146,
1279,0.2563668914,
1280,0.3,
1281,0.3,
1282,0.2521853986,
1283,0.1441987925,
1284,0.2548324531,
1285,0.3,
1286,0.3,
1287,0.2534232561,
1288,0.1440035634,
1289,0.2535519664,
1290,0.3,
1291,0.3,
1292,0.2562198348,
1293,0.1447926694,
1294,0.2513678612,
1295,0.3,
1296,0.3,
1297,0.2575124094,
1298,0.1437842302,
1299,0.2488978325,
1300,0.3,
1301,0.3,
1302,0.2594091248,
1303,0.1440362864,
1304,0.2470947083,
1305,0.3,
1306,0.3,
1307,0.2610129071,
1308,0.1443971687,
1309,0.2453979785,
1310,0.3,
1311,0.3,
1312,0.2626762703,
1313,0.1444804245,
1314,0.2439118199,
1315,0.3,
1316,0.3,
1317,0.2643200713,
1318,0.1454763467,
1319,0.2426890186,
1320,0.3,
1321,0.3,
1322,0.2660853942,
1323,0.1456696446,
1324,0.2409007002,
1325,0.3,
1326,0.3,
